安徽,"上海/
安徽","江苏/
安徽","浙江/
安徽","全国/
安徽"
0.3766,0.576198,0.466984,0.549836,0.47075
2279.71,3442.3621,3009.2172,2393.6955,2576.0723
0.0482,0.242446,0.094954,0.06989,0.076156
0.0059,0.04602,0.01475,0.010915,0.011918
0.3594,0.50316,0.470814,0.44925,0.420498
0.0869,0.18249,0.133826,0.142516,0.125136
0.589,0.80693,0.64201,0.64201,0.589
0.1589,0.498946,0.309855,0.30191,0.227227
9140.68,7403.9508,17550.1056,10786.0024,11913.35293
1444121.81,2714949.003,3826922.797,2252830.024,2931567.274
2682087.62,1448327.315,4184056.687,2333416.229,2655266.744
2682088,5444638.64,6892966.16,4532728.72,5623444.507
13105.58,31977.6152,18347.812,18347.812,18872.0352
6952.63,18772.101,8134.5771,7925.9982,8343.156
27080.5,44412.02,61472.735,46849.265,50911.34
302582.83,928929.2881,995497.5107,571881.5487,832102.7825
38317.83,79701.0864,116103.0249,47514.1092,81106.0735
1136.17,2692.7229,3010.8505,1806.5103,2503.361233
9044.17,10943.4457,33825.1958,16460.3894,20409.67697
